REF_DATE,VALUE
2013-01,92.8
2013-02,93
2013-03,93
2013-04,93.2
2013-05,93.4
2013-06,93.5
2013-07,93.6
2013-08,93.7
2013-09,93.8
2013-10,93.8
2013-11,93.9
2013-12,93.9
2014-01,94.1
2014-02,94.4
2014-03,94.5
2014-04,94.7
2014-05,94.8
2014-06,94.9
2014-07,94.9
2014-08,95.2
2014-09,95.3
2014-10,95.4
2014-11,95.5
2014-12,95.5
2015-01,95.5
2015-02,95.6
2015-03,95.7
2015-04,95.7
2015-05,95.9
2015-06,96.1
2015-07,96.2
2015-08,96.5
2015-09,96.6
2015-10,96.8
2015-11,96.9
2015-12,97
2016-01,97.1
2016-02,97.3
2016-03,97.5
2016-04,97.7
2016-05,98.5
2016-06,98.6
2016-07,99
2016-08,99.1
2016-09,99.3
2016-10,99.7
2016-11,99.9
2016-12,100
2017-01,100.1
2017-02,100.5
2017-03,100.7
2017-04,101.5
2017-05,102.2
2017-06,102.4
2017-07,102.8
2017-08,102.9
2017-09,103.1
2017-10,103.2
2017-11,103.3
2017-12,103.3
2018-01,103.3
2018-02,103.1
2018-03,103.1
2018-04,103.1
2018-05,103.1
2018-06,103.2
2018-07,103.3
2018-08,103.3
2018-09,103.3
2018-10,103.3
2018-11,103.3
2018-12,103.3
2019-01,103.2
2019-02,103.2
2019-03,103.2
2019-04,103.2
2019-05,103.1
2019-06,103
2019-07,102.9
2019-08,103
2019-09,103.2
2019-10,103.3
2019-11,103.2
2019-12,103.4
2020-01,103.4
2020-02,103.8
2020-03,104.1
2020-04,104.1
2020-05,104.2
2020-06,104.3
2020-07,104.7
2020-08,105.2
2020-09,106.5
2020-10,107.3
2020-11,107.9
2020-12,108.2
2021-01,109
2021-02,111.1
2021-03,112.3
2021-04,114.4
2021-05,116
2021-06,116.7
2021-07,117.2
2021-08,118
2021-09,118.5
2021-10,119.6
2021-11,120.5
2021-12,120.8
2022-01,121.9
2022-02,123.2
2022-03,124.7
2022-04,125.1
2022-05,125.7
2022-06,125.9
2022-07,126
2022-08,126.1
2022-09,126
2022-10,125.7
2022-11,125.5
2022-12,125.5
2023-01,125.2
2023-02,124.9
2023-03,124.9
2013-01,91.8
2013-02,91.9
2013-03,92
2013-04,92.2
2013-05,92.4
2013-06,92.5
2013-07,92.7
2013-08,92.8
2013-09,92.8
2013-10,92.9
2013-11,92.9
2013-12,93
2014-01,93.3
2014-02,93.6
2014-03,93.7
2014-04,94
2014-05,94.1
2014-06,94.3
2014-07,94.3
2014-08,94.5
2014-09,94.6
2014-10,94.7
2014-11,94.8
2014-12,94.9
2015-01,94.8
2015-02,95
2015-03,95
2015-04,95.1
2015-05,95.1
2015-06,95.3
2015-07,95.5
2015-08,95.8
2015-09,95.9
2015-10,96.2
2015-11,96.4
2015-12,96.5
2016-01,96.7
2016-02,97
2016-03,97.2
2016-04,97.6
2016-05,98.5
2016-06,98.5
2016-07,99
2016-08,99.3
2016-09,99.3
2016-10,99.8
2016-11,99.9
2016-12,100
2017-01,99.9
2017-02,100.2
2017-03,100.4
2017-04,101.2
2017-05,101.7
2017-06,102.1
2017-07,102.7
2017-08,102.8
2017-09,102.9
2017-10,103.1
2017-11,103.2
2017-12,103.2
2018-01,103.2
2018-02,102.9
2018-03,102.9
2018-04,102.7
2018-05,102.7
2018-06,103
2018-07,103.1
2018-08,103
2018-09,102.9
2018-10,102.9
2018-11,102.9
2018-12,102.9
2019-01,102.8
2019-02,102.8
2019-03,102.8
2019-04,102.6
2019-05,102.5
2019-06,102.4
2019-07,102.2
2019-08,102.3
2019-09,102.6
2019-10,102.7
2019-11,102.5
2019-12,102.8
2020-01,102.6
2020-02,103.1
2020-03,103.5
2020-04,103.5
2020-05,103.6
2020-06,103.7
2020-07,103.9
2020-08,104.6
2020-09,106.1
2020-10,107.3
2020-11,108
2020-12,108.3
2021-01,109.3
2021-02,111
2021-03,112.4
2021-04,114.3
2021-05,116.6
2021-06,117.9
2021-07,118.6
2021-08,119.5
2021-09,120.1
2021-10,121.4
2021-11,122.4
2021-12,122.9
2022-01,124.3
2022-02,126
2022-03,127.9
2022-04,128.6
2022-05,129.4
2022-06,129.6
2022-07,129.6
2022-08,129.8
2022-09,129.7
2022-10,129.4
2022-11,129.3
2022-12,129.2
2023-01,128.9
2023-02,128.5
2023-03,128.4
2013-01,95
2013-02,95.2
2013-03,95.2
2013-04,95.3
2013-05,95.4
2013-06,95.5
2013-07,95.6
2013-08,95.7
2013-09,95.7
2013-10,95.7
2013-11,95.8
2013-12,95.8
2014-01,95.9
2014-02,96
2014-03,96.1
2014-04,96.2
2014-05,96.3
2014-06,96.4
2014-07,96.4
2014-08,96.6
2014-09,96.6
2014-10,96.7
2014-11,96.8
2014-12,96.8
2015-01,96.9
2015-02,97
2015-03,97
2015-04,97
2015-05,97.6
2015-06,97.9
2015-07,97.9
2015-08,98
2015-09,98
2015-10,98.1
2015-11,98.1
2015-12,98.1
2016-01,98.1
2016-02,98.1
2016-03,98.1
2016-04,98.1
2016-05,98.5
2016-06,98.6
2016-07,98.7
2016-08,98.7
2016-09,99
2016-10,99.5
2016-11,100
2016-12,100
2017-01,100.4
2017-02,100.9
2017-03,101.3
2017-04,102.3
2017-05,103.1
2017-06,103.1
2017-07,103.3
2017-08,103.3
2017-09,103.6
2017-10,103.6
2017-11,103.6
2017-12,103.7
2018-01,103.7
2018-02,103.8
2018-03,103.7
2018-04,103.7
2018-05,103.8
2018-06,103.9
2018-07,103.9
2018-08,103.9
2018-09,104
2018-10,104
2018-11,104.1
2018-12,104.1
2019-01,104.1
2019-02,104.1
2019-03,104.1
2019-04,104.1
2019-05,104.2
2019-06,104.2
2019-07,104.1
2019-08,104.2
2019-09,104.2
2019-10,104.2
2019-11,104.3
2019-12,104.4
2020-01,104.8
2020-02,105
2020-03,105.1
2020-04,105.1
2020-05,105.1
2020-06,105.2
2020-07,105.9
2020-08,106.3
2020-09,106.8
2020-10,107.4
2020-11,107.8
2020-12,108
2021-01,108.4
2021-02,110.1
2021-03,110.7
2021-04,112.9
2021-05,113.4
2021-06,112.9
2021-07,113
2021-08,113.5
2021-09,113.8
2021-10,114.4
2021-11,115.1
2021-12,115.2
2022-01,115.5
2022-02,116.1
2022-03,116.5
2022-04,116.7
2022-05,116.8
2022-06,117
2022-07,117.2
2022-08,117.2
2022-09,117.1
2022-10,116.7
2022-11,116.6
2022-12,116.6
2023-01,116.5
2023-02,116.4
2023-03,116.4
